,1,2,3,4
401056547,74,71,,
401056552,74,68,77.0,72.0
401148236,71,69,,
401148241,70,72,73.0,68.0
401155422,69,69,69.0,75.0
401155424,76,70,72.0,69.0
401155426,70,71,71.0,74.0
401155460,71,76,,
401219333,70,77,,
401219480,73,72,,
401219481,68,72,70.0,71.0
