,Win %,Win Dec,Top 5s,Top 5 %,Top 5 Dec
Byeong Hun An,0.21,476.19,1243.0,1.24,80.65
Padraig Harrington,0.02,5000.0,257.0,0.26,384.62
Chez Reavie,0.03,3333.33,296.0,0.3,333.33
Dylan Frittelli,0.03,3333.33,371.0,0.37,270.27
Jimmy Walker,0.04,2500.0,347.0,0.35,285.71
Cameron Champ,0.06,1666.67,434.0,0.43,232.56
Victor Perez,0.02,5000.0,251.0,0.25,400.0
Adam Long,0.08,1250.0,585.0,0.58,172.41
Rikuya Hoshino,0.01,10000.0,124.0,0.12,833.33
Brian Gay,0.0,inf,61.0,0.06,1666.67
Henrik Stenson,0.03,3333.33,255.0,0.26,384.62
Rich Beem,0.41,243.9,1598.0,1.6,62.5
Peter Malnati,0.0,inf,29.0,0.03,3333.33
Jazz Janewattananond,0.03,3333.33,225.0,0.22,454.55
Jim Herman,0.03,3333.33,197.0,0.2,500.0
Hudson Swafford,0.11,909.09,557.0,0.56,178.57
Chan Kim,,,14.0,0.01,10000.0
Lucas Herbert,,,13.0,0.01,10000.0
Jason Scrivener,,,1.0,0.0,inf
Vijay Singh,,,12.0,0.01,10000.0
Andy Sullivan,,,1.0,0.0,inf
